Country,Total_Cases,ISO,Population,Percent_Infected
South Korea,34652.0,KOR,51260395.0,0.0676
South Sudan,3109.0,SSD,11166783.0,0.02784
Spain,1648187.0,ESP,46751175.0,3.52545
Sri Lanka,23987.0,LKA,21395196.0,0.11211
Sudan,17810.0,SDN,43632213.0,0.04082
Suriname,5312.0,SUR,585561.0,0.90716
Sweden,243129.0,SWE,10086531.0,2.41043
Switzerland,327072.0,CHE,8641786.0,3.78477
Tajikistan,12194.0,TJK,9492342.0,0.12846
Tanzania,509.0,TZA,59368313.0,0.00086
Thailand,4008.0,THA,69764925.0,0.00575
Timor-Leste,30.0,TLS,1313184.0,0.00228
Togo,2974.0,TGO,8237580.0,0.0361
Trinidad and Tobago,6669.0,TTO,1398579.0,0.47684
Tunisia,96769.0,TUN,11793319.0,0.82054
Turkey,638847.0,TUR,84153250.0,0.75915
United States,13541221.0,USA,330610570.0,4.09582
Uganda,20459.0,UGA,45427637.0,0.04504
Ukraine,752343.0,UKR,43785122.0,1.71826
United Arab Emirates,168860.0,ARE,9865845.0,1.71156
United Kingdom,1633733.0,GBR,67814098.0,2.40913
Uruguay,5857.0,URY,3471314.0,0.16873
Uzbekistan,73094.0,UZB,33368859.0,0.21905
Vanuatu,1.0,VUT,305623.0,0.00033
Venezuela,102394.0,VEN,28451828.0,0.35989
Western Sahara,10.0,ESH,594215.0,0.00168
Yemen,2191.0,YEM,29687214.0,0.00738
Zambia,17647.0,ZMB,18273379.0,0.09657
Zimbabwe,9950.0,ZWE,14818157.0,0.06715
Greenland,18.0,GRL,56750.0,0.03172
